title,book_cat,author,year,rating,total_ratings,description,book_link,review_link
"Artificial Intelligence A Modern Approach, 1st Edition",Artificial Intelligence,Stuart Russell,1995,4.2,352,"Comprehensive, up-to-date introduction to the theory and practice of artificial intelligence. Number one in its field, this textbook is ideal for one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence.",http://www.cin.ufpe.br/~tfl2/artificial-intelligence-modern-approach.9780131038059.25368.pdf,http://www.amazon.com/gp/product/0136042597/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0136042597&linkCode=as2&tag=learnds-20&linkId=3FRORB7P56CEWSK5
Learning Deep Architectures for AI,Artificial Intelligence,Yoshua Bengio,2009,4.0,18,Foundations and Trends(r) in Machine Learning.,http://www.iro.umontreal.ca/~bengioy/papers/ftml_book.pdf,https://www.amazon.com/Learning-Architectures-Foundations-Trends-Machine/dp/1601982941/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=05005f5460d62e0fd752acbae505835f&language=en_US
The LION Way: Machine Learning plus Intelligent Optimization,Artificial Intelligence,Roberto Battiti & Mauro Brunato,2013,3.5,2,Learning and Intelligent Optimization (LION) is the combination of learning from data and optimization applied to solve complex and dynamic problems. Learn about increasing the automation level and connecting data directly to decisions and actions.,http://www.e-booksdirectory.com/details.php?ebook=9575,https://www.amazon.com/The-LION-Way-Intelligent-Optimization/dp/1496034023/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=8b05170f4d78bc6880510c7d62ea08ef&language=en_US
Disruptive Possibilities: How Big Data Changes Everything,Big Data,Jeffrey Needham,2013,3.5,116,"This book provides an historically-informed overview through a wide range of topics, from the evolution of commodity supercomputing and the simplicity of big data technology, to the ways conventional clouds differ from Hadoop analytics clouds.",http://www.oreilly.com/data/free/files/disruptive-possibilities.pdf,http://www.amazon.com/gp/product/B00CLH387W/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00CLH387W&linkCode=as2&tag=learnds-20&linkId=7GZJ3Y6HCMNDEOM7
Computer Vision,Computer Science Topics,Richard Szeliski,2010,4.2,116,"Challenging real-world applications where vision is being successfully used, both for specialized applications such as medical imaging, and for fun, consumer-level tasks such as image editing and stitching, which you can use on you own personal media",http://szeliski.org/Book/,http://www.amazon.com/gp/product/1848829345/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1848829345&linkCode=as2&tag=learnds-20&linkId=GDRWGW45NRPO2QBK
Natural Language Processing with Python,Computer Science Topics,Steven Bird,2009,4.1,473,"This book offers a highly accessible introduction to natural language processing, the field that supports a variety of language technologies, from predictive text and email filtering to automatic summarization and translation.",http://www.nltk.org/book_1ed/,http://www.amazon.com/gp/product/0596516495/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0596516495&linkCode=as2&tag=learnds-20&linkId=UCYAEAU2FYZJZBS3
Programming Computer Vision with Python,Computer Science Topics,Jan Erik Solem,2012,4.0,50,"If you want a basic understanding of computer vision’s underlying theory and algorithms, this hands-on introduction is the ideal place to start. You’ll learn techniques for object recognition, 3D reconstruction, stereo imaging, augmented reality, etc",http://programmingcomputervision.com/,https://www.amazon.com/Programming-Computer-Vision-Python-algorithms/dp/1449316549/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=af1a94d15f91e415c3ff13b0c51e34da&language=en_US
The Elements of Data Analytic Style,Data Analysis,Jeff Leek,,3.7,175,Data analysis is at least as much art as it is science. This book is focused on the details of data analysis that sometimes fall through the cracks in traditional statistics classes and textbooks.,https://leanpub.com/datastyle,http://www.amazon.com/gp/product/B00U6D80YY/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00U6D80YY&linkCode=as2&tag=learnds-20&linkId=FHGA4UKKA2AQDF6N
A Course in Machine Learning,Data Mining and Machine Learning,Hal Daumé III,2014,0.0,0,None,http://ciml.info/dl/v0_9/ciml-v0_9-all.pdf,None
A First Encounter with Machine Learning,Data Mining and Machine Learning,Max Welling,2011,0.0,0,None,https://www.ics.uci.edu/~welling/teaching/ICS273Afall11/IntroMLBook.pdf,None
